System               | Instance             | Version    | Date       | Server    
rtp_pim              | PluginManager_01     | 2.8.3.1    | 2014-01-29 | PC-PIM01C  | ISEapps    | PROD      
rtp_pim              | PluginManager_02     | 2.8.3.1    | 2014-01-29 | PC-PIM01C  | ISEapps    | PROD      
rtp_pim              | PluginManager_03     | 2.8.3.1    | 2014-01-29 | PC-PIM01C  | ISEapps    | PROD      
rtp_pim              | PluginManager_04     | 2.8.3.1    | 2014-01-29 | PC-PIM01C  | ISEapps    | PROD      
rtp_pim              | PluginManager_05     | 2.8.3.1    | 2014-01-29 | PC-PIM01C  | ISEapps    | PROD      
rtp_pim              | PluginManager_06     | 2.8.3.1    | 2014-01-29 | PC-PIM01C  | ISEapps    | PROD      
rtp_pim              | PluginManager_07     | 2.8.3.1    | 2014-01-29 | PC-PIM01C  | ISEapps    | PROD      
rtp_pim              | PluginManager_08     | 2.8.3.1    | 2014-01-29 | PC-PIM01C  | ISEapps    | PROD      
rtp_pim              | PluginManager_09     | 2.8.3.1    | 2014-01-29 | PC-PIM01C  | ISEapps    | PROD      
rtp_pim              | PluginManager_10     | 2.8.3.1    | 2014-01-29 | PC-PIM01C  | ISEapps    | PROD      
rtp_pim              | PluginManager_51     | 2.8.53.1   | 2014-01-29 | PC-PIM01C  | ISEapps    | PROD      
rtp_pim              | PluginManager_52     | 2.8.53.1   | 2014-01-29 | PC-PIM01C  | ISEapps    | PROD      
rtp_pim              | PluginManager_53     | 2.8.53.1   | 2014-01-29 | PC-PIM01C  | ISEapps    | PROD      
rtp_pim              | PluginManager_54     | 2.8.53.1   | 2014-01-29 | PC-PIM01C  | ISEapps    | PROD      
rtp_pim              | PluginManager_55     | 2.8.53.1   | 2014-01-29 | PC-PIM01C  | ISEapps    | PROD      
rtp_pim              | PluginManager_56     | 2.8.53.1   | 2014-01-29 | PC-PIM01C  | ISEapps    | PROD      
rtp_pim              | PluginManager_57     | 2.8.53.1   | 2014-01-29 | PC-PIM01C  | ISEapps    | PROD      
rtp_pim              | PluginManager_58     | 2.8.53.1   | 2014-01-29 | PC-PIM01C  | ISEapps    | PROD      
rtp_pim              | PluginManager_01     | 2.8.3.1    | 2014-01-29 | PC-PIM01D  | ISEapps    | PROD      
rtp_pim              | PluginManager_02     | 2.8.3.1    | 2014-01-29 | PC-PIM01D  | ISEapps    | PROD      
rtp_pim              | PluginManager_03     | 2.8.3.1    | 2014-01-29 | PC-PIM01D  | ISEapps    | PROD      
rtp_pim              | PluginManager_04     | 2.8.3.1    | 2014-01-29 | PC-PIM01D  | ISEapps    | PROD      
rtp_pim              | PluginManager_05     | 2.8.3.1    | 2014-01-29 | PC-PIM01D  | ISEapps    | PROD      
rtp_pim              | PluginManager_06     | 2.8.3.1    | 2014-01-29 | PC-PIM01D  | ISEapps    | PROD      
rtp_pim              | PluginManager_07     | 2.8.3.1    | 2014-01-29 | PC-PIM01D  | ISEapps    | PROD      
rtp_pim              | PluginManager_08     | 2.8.3.1    | 2014-01-29 | PC-PIM01D  | ISEapps    | PROD      
rtp_pim              | PluginManager_09     | 2.8.3.1    | 2014-01-29 | PC-PIM01D  | ISEapps    | PROD      
rtp_pim              | PluginManager_10     | 2.8.3.1    | 2014-01-29 | PC-PIM01D  | ISEapps    | PROD      
rtp_pim              | PluginManager_51     | 2.8.53.1   | 2014-01-29 | PC-PIM01D  | ISEapps    | PROD      
rtp_pim              | PluginManager_52     | 2.8.53.1   | 2014-01-29 | PC-PIM01D  | ISEapps    | PROD      
rtp_pim              | PluginManager_53     | 2.8.53.1   | 2014-01-29 | PC-PIM01D  | ISEapps    | PROD      
rtp_pim              | PluginManager_54     | 2.8.53.1   | 2014-01-29 | PC-PIM01D  | ISEapps    | PROD      
rtp_pim              | PluginManager_55     | 2.8.53.1   | 2014-01-29 | PC-PIM01D  | ISEapps    | PROD      
rtp_pim              | PluginManager_56     | 2.8.53.1   | 2014-01-29 | PC-PIM01D  | ISEapps    | PROD      
rtp_pim              | PluginManager_57     | 2.8.53.1   | 2014-01-29 | PC-PIM01D  | ISEapps    | PROD      
rtp_pim              | PluginManager_58     | 2.8.53.1   | 2014-01-29 | PC-PIM01D  | ISEapps    | PROD      
rtp_pim              | PluginManager_01     | 2.8.3.1    | 2014-01-29 | PC-PIM01E  | ISEapps    | PROD      
rtp_pim              | PluginManager_02     | 2.8.3.1    | 2014-01-29 | PC-PIM01E  | ISEapps    | PROD      
rtp_pim              | PluginManager_03     | 2.8.3.1    | 2014-01-29 | PC-PIM01E  | ISEapps    | PROD      
rtp_pim              | PluginManager_04     | 2.8.3.1    | 2014-01-29 | PC-PIM01E  | ISEapps    | PROD      
rtp_pim              | PluginManager_05     | 2.8.3.1    | 2014-01-29 | PC-PIM01E  | ISEapps    | PROD      
rtp_pim              | PluginManager_06     | 2.8.3.1    | 2014-01-29 | PC-PIM01E  | ISEapps    | PROD      
rtp_pim              | PluginManager_07     | 2.8.3.1    | 2014-01-29 | PC-PIM01E  | ISEapps    | PROD      
rtp_pim              | PluginManager_08     | 2.8.3.1    | 2014-01-29 | PC-PIM01E  | ISEapps    | PROD      
rtp_pim              | PluginManager_09     | 2.8.3.1    | 2014-01-29 | PC-PIM01E  | ISEapps    | PROD      
rtp_pim              | PluginManager_10     | 2.8.3.1    | 2014-01-29 | PC-PIM01E  | ISEapps    | PROD      
rtp_pim              | PluginManager_51     | 2.8.53.1   | 2014-01-29 | PC-PIM01E  | ISEapps    | PROD      
rtp_pim              | PluginManager_52     | 2.8.53.1   | 2014-01-29 | PC-PIM01E  | ISEapps    | PROD      
rtp_pim              | PluginManager_53     | 2.8.53.1   | 2014-01-29 | PC-PIM01E  | ISEapps    | PROD      
rtp_pim              | PluginManager_54     | 2.8.53.1   | 2014-01-29 | PC-PIM01E  | ISEapps    | PROD      
rtp_pim              | PluginManager_55     | 2.8.53.1   | 2014-01-29 | PC-PIM01E  | ISEapps    | PROD      
rtp_pim              | PluginManager_56     | 2.8.53.1   | 2014-01-29 | PC-PIM01E  | ISEapps    | PROD      
rtp_pim              | PluginManager_57     | 2.8.53.1   | 2014-01-29 | PC-PIM01E  | ISEapps    | PROD      
rtp_pim              | PluginManager_58     | 2.8.53.1   | 2014-01-29 | PC-PIM01E  | ISEapps    | PROD      
rtp_pim              | PluginManager_01     | 2.8.3.1    | 2014-01-29 | PC-PIM01G  | ISEapps    | PROD      
rtp_pim              | PluginManager_02     | 2.8.3.1    | 2014-01-29 | PC-PIM01G  | ISEapps    | PROD      
rtp_pim              | PluginManager_03     | 2.8.3.1    | 2014-01-29 | PC-PIM01G  | ISEapps    | PROD      
rtp_pim              | PluginManager_04     | 2.8.3.1    | 2014-01-29 | PC-PIM01G  | ISEapps    | PROD      
rtp_pim              | PluginManager_05     | 2.8.3.1    | 2014-01-29 | PC-PIM01G  | ISEapps    | PROD      
rtp_pim              | PluginManager_06     | 2.8.3.1    | 2014-01-29 | PC-PIM01G  | ISEapps    | PROD      
rtp_pim              | PluginManager_07     | 2.8.3.1    | 2014-01-29 | PC-PIM01G  | ISEapps    | PROD      
rtp_pim              | PluginManager_08     | 2.8.3.1    | 2014-01-29 | PC-PIM01G  | ISEapps    | PROD      
rtp_pim              | PluginManager_09     | 2.8.3.1    | 2014-01-29 | PC-PIM01G  | ISEapps    | PROD      
rtp_pim              | PluginManager_10     | 2.8.3.1    | 2014-01-29 | PC-PIM01G  | ISEapps    | PROD      
rtp_pim              | PluginManager_51     | 2.8.53.1   | 2014-01-29 | PC-PIM01G  | ISEapps    | PROD      
rtp_pim              | PluginManager_52     | 2.8.53.1   | 2014-01-29 | PC-PIM01G  | ISEapps    | PROD      
rtp_pim              | PluginManager_53     | 2.8.53.1   | 2014-01-29 | PC-PIM01G  | ISEapps    | PROD      
rtp_pim              | PluginManager_54     | 2.8.53.1   | 2014-01-29 | PC-PIM01G  | ISEapps    | PROD      
rtp_pim              | PluginManager_55     | 2.8.53.1   | 2014-01-29 | PC-PIM01G  | ISEapps    | PROD      
rtp_pim              | PluginManager_56     | 2.8.53.1   | 2014-01-29 | PC-PIM01G  | ISEapps    | PROD      
rtp_pim              | PluginManager_57     | 2.8.53.1   | 2014-01-29 | PC-PIM01G  | ISEapps    | PROD      
rtp_pim              | PluginManager_58     | 2.8.53.1   | 2014-01-29 | PC-PIM01G  | ISEapps    | PROD      
rtp_pim              | PluginManager_01     | 2.8.3.1    | 2014-01-29 | PC-PIM01H  | ISEapps    | PROD      
rtp_pim              | PluginManager_02     | 2.8.3.1    | 2014-01-29 | PC-PIM01H  | ISEapps    | PROD      
rtp_pim              | PluginManager_03     | 2.8.3.1    | 2014-01-29 | PC-PIM01H  | ISEapps    | PROD      
rtp_pim              | PluginManager_04     | 2.8.3.1    | 2014-01-29 | PC-PIM01H  | ISEapps    | PROD      
rtp_pim              | PluginManager_05     | 2.8.3.1    | 2014-01-29 | PC-PIM01H  | ISEapps    | PROD      
rtp_pim              | PluginManager_06     | 2.8.3.1    | 2014-01-29 | PC-PIM01H  | ISEapps    | PROD      
rtp_pim              | PluginManager_07     | 2.8.3.1    | 2014-01-29 | PC-PIM01H  | ISEapps    | PROD      
rtp_pim              | PluginManager_08     | 2.8.3.1    | 2014-01-29 | PC-PIM01H  | ISEapps    | PROD      
rtp_pim              | PluginManager_09     | 2.8.3.1    | 2014-01-29 | PC-PIM01H  | ISEapps    | PROD      
rtp_pim              | PluginManager_10     | 2.8.3.1    | 2014-01-29 | PC-PIM01H  | ISEapps    | PROD      
rtp_pim              | PluginManager_51     | 2.8.53.1   | 2014-01-29 | PC-PIM01H  | ISEapps    | PROD      
rtp_pim              | PluginManager_52     | 2.8.53.1   | 2014-01-29 | PC-PIM01H  | ISEapps    | PROD      
rtp_pim              | PluginManager_53     | 2.8.53.1   | 2014-01-29 | PC-PIM01H  | ISEapps    | PROD      
rtp_pim              | PluginManager_54     | 2.8.53.1   | 2014-01-29 | PC-PIM01H  | ISEapps    | PROD      
rtp_pim              | PluginManager_55     | 2.8.53.1   | 2014-01-29 | PC-PIM01H  | ISEapps    | PROD      
rtp_pim              | PluginManager_56     | 2.8.53.1   | 2014-01-29 | PC-PIM01H  | ISEapps    | PROD      
rtp_pim              | PluginManager_57     | 2.8.53.1   | 2014-01-29 | PC-PIM01H  | ISEapps    | PROD      
rtp_pim              | PluginManager_58     | 2.8.53.1   | 2014-01-29 | PC-PIM01H  | ISEapps    | PROD      
precise_salesdeskohr | SalesDesk_OHR        | 8.0.2.0    | 2014-01-29 | PC-PIM01H  | ISEapps    | PROD      
