System               | Instance             | Version    | Date       | Server    
rtp_pim              | PluginManager_57     | 2.7.51.0   | 2014-01-07 | PC-PIM01F  | ISEapps   
rdqs                 | RDQS                 | 1.10.0.0   | 2014-01-07 | PC-PIM01G  | ISEapps   
rtp_pim              | PluginManager_01     | 2.7.1.0    | 2014-01-07 | PC-PIM01G  | ISEapps   
rtp_pim              | PluginManager_02     | 2.7.1.0    | 2014-01-07 | PC-PIM01G  | ISEapps   
rtp_pim              | PluginManager_03     | 2.7.1.0    | 2014-01-07 | PC-PIM01G  | ISEapps   
rtp_pim              | PluginManager_04     | 2.7.1.0    | 2014-01-07 | PC-PIM01G  | ISEapps   
rtp_pim              | PluginManager_05     | 2.7.1.0    | 2014-01-07 | PC-PIM01G  | ISEapps   
rtp_pim              | PluginManager_06     | 2.7.1.0    | 2014-01-07 | PC-PIM01G  | ISEapps   
rtp_pim              | PluginManager_07     | 2.7.1.0    | 2014-01-07 | PC-PIM01G  | ISEapps   
rtp_pim              | PluginManager_08     | 2.7.1.0    | 2014-01-07 | PC-PIM01G  | ISEapps   
rtp_pim              | PluginManager_09     | 2.7.1.0    | 2014-01-07 | PC-PIM01G  | ISEapps   
rtp_pim              | PluginManager_10     | 2.7.1.0    | 2014-01-07 | PC-PIM01G  | ISEapps   
rtp_pim              | PluginManager_51     | 2.7.51.0   | 2014-01-07 | PC-PIM01G  | ISEapps   
rtp_pim              | PluginManager_52     | 2.7.51.0   | 2014-01-07 | PC-PIM01G  | ISEapps   
rtp_pim              | PluginManager_53     | 2.7.51.0   | 2014-01-07 | PC-PIM01G  | ISEapps   
rtp_pim              | PluginManager_54     | 2.7.51.0   | 2014-01-07 | PC-PIM01G  | ISEapps   
rtp_pim              | PluginManager_55     | 2.7.51.0   | 2014-01-07 | PC-PIM01G  | ISEapps   
rtp_pim              | PluginManager_56     | 2.7.51.0   | 2014-01-07 | PC-PIM01G  | ISEapps   
rtp_pim              | PluginManager_57     | 2.7.51.0   | 2014-01-07 | PC-PIM01G  | ISEapps   
precise_userreport   | PreciseTradeUserReport | 7.0.0.0    | 2014-01-07 | PC-PIM01H  | ISEapps   
rdqs                 | RDQS                 | 1.10.0.0   | 2014-01-07 | PC-PIM01H  | ISEapps   
rtp_pim              | PluginManager_01     | 2.7.1.0    | 2014-01-07 | PC-PIM01H  | ISEapps   
rtp_pim              | PluginManager_02     | 2.7.1.0    | 2014-01-07 | PC-PIM01H  | ISEapps   
rtp_pim              | PluginManager_03     | 2.7.1.0    | 2014-01-07 | PC-PIM01H  | ISEapps   
rtp_pim              | PluginManager_04     | 2.7.1.0    | 2014-01-07 | PC-PIM01H  | ISEapps   
rtp_pim              | PluginManager_05     | 2.7.1.0    | 2014-01-07 | PC-PIM01H  | ISEapps   
rtp_pim              | PluginManager_06     | 2.7.1.0    | 2014-01-07 | PC-PIM01H  | ISEapps   
rtp_pim              | PluginManager_07     | 2.7.1.0    | 2014-01-07 | PC-PIM01H  | ISEapps   
rtp_pim              | PluginManager_08     | 2.7.1.0    | 2014-01-07 | PC-PIM01H  | ISEapps   
rtp_pim              | PluginManager_09     | 2.7.1.0    | 2014-01-07 | PC-PIM01H  | ISEapps   
rtp_pim              | PluginManager_10     | 2.7.1.0    | 2014-01-07 | PC-PIM01H  | ISEapps   
rtp_pim              | PluginManager_51     | 2.7.51.0   | 2014-01-07 | PC-PIM01H  | ISEapps   
rtp_pim              | PluginManager_52     | 2.7.51.0   | 2014-01-07 | PC-PIM01H  | ISEapps   
rtp_pim              | PluginManager_53     | 2.7.51.0   | 2014-01-07 | PC-PIM01H  | ISEapps   
rtp_pim              | PluginManager_54     | 2.7.51.0   | 2014-01-07 | PC-PIM01H  | ISEapps   
rtp_pim              | PluginManager_55     | 2.7.51.0   | 2014-01-07 | PC-PIM01H  | ISEapps   
rtp_pim              | PluginManager_56     | 2.7.51.0   | 2014-01-07 | PC-PIM01H  | ISEapps   
rtp_pim              | PluginManager_57     | 2.7.51.0   | 2014-01-07 | PC-PIM01H  | ISEapps   
